,reviewTitle,reviewContent,rating,label,clean_teks
93719,kecewa banget,sudah lewat dr estimasi barang blm jg sampai.. pesan dr tgl 12 hari ini blm ada kabar dari pihak lazada,1,0,estimasi barang pesan tanggal kabar lazada
93736,bagus..tapi,"barang sesuai pesanan n di trima dlm kondisi baik,tdk ada cacat. tp pengiriman nya lama..dan salah 1 sistem d tv agak error jd sy hrs panggil montir sharp lg utk d perbaiki. untung nya bsa d reset ulang tv nya...",4,1,barang sesuai pesan n trima kondisi cacat kirim nya salah sistem d televisi error panggil montir sharp d baik untung nya d reset ulang televisi nya
93737,Bagus sangat. .,Mantabz banget. .top dah buat lazada. .barang aman dgn packing kuat ditambah bubble. .produknya jg ok sangat. .makasih lazada. .,4,1,mantabz banget top lazada barang aman packing kuat tambah bubble produk ok terimakasih lazada
93745,pengirimanya rada lama,pesananya d trima rda lama .. wktund trima brang d bungkus sangat rapi dgn menggunakan kayu.. pas d coba barang lumayan bgus tetapi bergantian salurannya rda lama,3,0,sana d trima rda wktund trima brang d bungkus rapi kayu pas d coba barang lumayan bgus ganti salur rda
93774,Good,"Tv lumayan bagus dengan harga terjangkau, mulus, packing baik, cepat sampai, order sabtu, selasa sampai, trimakasih lapak & lazada",4,1,televisi lumayan bagus harga jangkau mulus packing cepat order sabtu selasa trimakasih lapak lazada
93775,Dilema,"Walaupun barang ini datangnya telat dari estimasi waktu dan harus sedikit bekerja keras berantem dengan operator,overall saya puas belanja dilazada.tvnya mendarat sempurna dengan kondisi OKE !!! Untuk tv semurah ini,mantaplah.kalo saya seh bilang tv Murah tp gak murahan,saya berikan apresiasi dan kredit point buat lazada.yg tanggap untuk memberikan layanan keluhan pelanggan.",3,0,barang datang telat estimasi keras antem operator overall puas belanja dilazada tvnya darat sempurna kondisi oke televisi murah mantap seh bilang televisi murah murah apresiasi kredit point lazada tanggap layan keluh langgan
93779,Oke,"Barang diterima dengan baik, packing paket rapih, pengiriman cepat... terima kasih lazada n seller 😁 mantapp..",4,1,barang terima packing paket rapih kirim cepat terima kasih lazada n jual mantapp
93781,Sngat sngat Puasss...,Barang ok ok bnget. gmbar jrnih .suara bgus.paking rapiii .kurir nya pun ramah.sbar mau ngguin .mksi lazada sllu puasa blnja dsini.jdi sering blnja d lazadaa nih ...,5,1,barang ok ok bnget gmbar jrnih suara bgus paking rapiii kurir nya ramah sabar ngguin terimakasih lazada sllu puasa belanja belanja d lazadaa nih
93782,kiriman cepat,"kirimannya super cepat, harga murah bisa COD, mudah2an bagus nich TV nya, wat door prize perusahaan he he thanxz lazada & seller",5,1,kirim super cepat harga murah bayar kirim mudah bagus nich televisi nya door prize usaha he he thanxz lazada jual
93783,Mantap,"kiriman datang sesuai estimasi,packing aman dengan kayu.produk dicoba semuanya berfungsi dengan baik.thx lazada",5,1,kirim sesuai estimasi packing aman kayu produk coba fungsi terimakasih lazada
93799,Mantap bangett dah...,"Packing sangat rapi , barang sampai tujuan dengan kondisi sangat baik , pengiriman sangat cepat belum nyampai estimasi waktu yang diberikan tapi barang udah dateng... Isi dalam bok lengkap TV , remote , baut , buku garansi & petunjuk + 2 kaki tvnya...",5,1,packing rapi barang tuju kondisi kirim cepat nyampai estimasi barang isi bok lengkap televisi remote baut buku garansi tunjuk kaki tvnya
93800,Lazada Ok,Trima kasih Lazada ... cepat sekali datangnya. Baramg sdh di coba dlm kondisi baik dan berfungsi semua. Pertahankan dan tingkatkan layanan ini. Makasih,5,1,trima kasih lazada cepat datang baramg coba kondisi fungsi tahan tingkat layan terimakasih
93801,puas,"pesan tgl 21  tgl 23 eh sudah tiba barang nya  di cek isi  barang lengkap remot,buku garansi, kaki2 tv nya  , pas di hidup kan layar oke gambar bagus ...tks lazada",5,1,pesan tanggal tanggal eh barang nya cek isi barang lengkap remot buku garansi kaki televisi nya pas hidup layar oke gambar bagus terimakasih lazada
93802,tv sharp,"makasih lazada tv nya bagus tidak mengecewakan, cucok meong lahh.. kurir nya juga ramah mungkin karna satu profesi kerjanya 😁",4,1,terimakasih lazada televisi nya bagus kecewa cocok meong lahh kurir nya ramah profesi kerja
93803,Bagus,"Mantap,barang sudah dicoba dan berfungsi dengan baik. Waktu pengiriman ternyata lebih cepat dari perkiraan. Makasi Lazada",5,1,mantap barang coba fungsi kirim cepat kira makas lazada
93805,pengiriman super cepat...barang rapi,Barang rapi...kiriman dalam kota dan tanpa bungkus bubble...cepat nyampe...produk sudah dites  semua mulus dan berfungsi dengan baik. Thanks lazada,5,1,barang rapi kirim kota bungkus bubble cepat produk tes mulus fungsi terimakasih lazada
93806,telat 2minggu...tapi respon lazada bagus mengurus keterlambatan pengantaran,"ntah ada kendala apa di pos indonesia yg mengakibatkan barang bisa telat 2minggu pending pengantaran di pos indonesia...tapi respon lazada bagus dalam hal follow up proses pengantaran...karena saya memilih menginginkan barangnya walau telat...thanks lazada sudah bekerja ekstra mengurus keterlambatan dampai barangnya tiba dirumah saya. Kemasan rapi, dibungkus plastik bubble wrap tahan air...barang sudah dicoba dan berfungsi dengan baik. Saran buat lazada...mungkin bisa READYkan saja barang"" fastmoving wilayah medan di gudang medan dengan pengiriman darat...supaya hemat ongkos kirim udara...dan cepat nyampe ke pembeli di medan",5,1,ntah kendala pos indonesia akibat barang telat minggu pending antar pos indonesia respon lazada bagus follow up proses antar pilih barang telat terimakasih lazada ekstra urus lambat dampai barang rumah kemas rapi bungkus plastik bubble wrap tahan air barang coba fungsi saran lazada readykan barang fastmoving wilayah medan gudang medan kirim darat hemat ongkos kirim udara cepat beli medan
93807,Pengiriman yg bermasalah,"Kalo dari lazadanya sih ngepak barangnya lumayan cepet atau ga terlalu lama, tp pas udh di jasa kurir yang dipakai lazada yaitu pos indonesia, barang saya ketahan lama banget di pos indonesia. Akhirnya ambil sendiri ke kntor pos indonesianya karena waktu itu buat kado. Alasan pos indonesia karena lagi overload, klasik banget wkwk. Semoga lain kali ada pilihan kurir yang bisa dipilih pembeli. Gapapa deh bayar asal bener..",2,0,lazadanya sih ngepak barang lumayan cepat pas jasa kurir pakai lazada pos indonesia barang tahan banget pos indonesia ambil kantor pos indonesia kado alas pos indonesia overload klasik banget wkwk moga kali pilih kurir pilih beli apa deh bayar bener
93808,TV bukan untuk sendiri,"Barang sudah saya terima tapi lama sekali diterimanya, barang tidak saya cek bagus atau tidaknya karena barang itu langsung saya kasih untuk doorprice klien.",3,0,barang terima terima barang cek bagus tidak barang langsung kasih doorprice klien
93809,bagus,cepet bgt sampenya malam minggu psen senin sudh sampe. kurirnya juga ramah .. tvnya bening suaranya juga besar .. thnks lazada semoga awet tv nya,4,1,cepat banget sampenya malam minggu psen senin sudh kurir ramah tvnya bening suara thnks lazada moga awet televisi nya
93810,Lumayan lah,"Paket agak lambat, pesan hari kamis malam, selasa sore br smp, padahal JNE produk awal ny ada 1 garis biru mendatar, stlh saya taruh terbalik, trs di balik, untunglah hilang, trs ini kl klaim garansi cara ny gimana ? kartu garansi gak ada stempel, gak ada nota pembelian ?",3,0,paket lambat pesan kamis malam selasa sore br smp jne produk ny garis biru datar taruh balik untung hilang kl klaim garansi ny kartu garansi stempel nota beli
93812,produk tidak sesuai dengan jawaban atas pertanyaan tentang produk,"Produk setelah saya cek masih menggunakan sistem analog, belum menggunakan sistem digital,, dan untuk lubang USB yang tersedia tidak bisa digunakan untuk memutar video, MP3 dll ,, hanya bisa digunakan untuk service saja...",2,0,produk cek sistem analog sistem digital lubang usb sedia putar video mp lain servis
93813,Terima kasih,Packing rapih dan aman.... cuma aga lama dikit dalam pengiriman... tapi barang sampai dengan aman dan kualitas barang ok,4,1,packing rapih aman aga kirim barang aman kualitas barang ok
93824,Produk bagus,"Produk sudah diterima dan berfungsi dgn baik. Hanya saja lama sampainya, lebih lama 8 hari dari estimasi pengiriman tp lumayan puas dgn produknya...terima kasih Lazada",4,1,produk terima fungsi sampai estimasi kirim lumayan puas produk terima kasih lazada
93825,Well Done Lazada,"Tv sesuai ekspektasi, pengiriman cepat, rapih dan kurirnya sangat friendly, sekaligus sy req di setting dan install karna kebetulan saya tidak dirumah. Goodjob Lazada",5,1,televisi sesuai ekspektasi kirim cepat rapih kurir friendly req setting install rumah goodjob lazada
93865,Satu bintang,Udah nunggu 2 mingguan ini kenapa pesanan saya belom sampai juga..?? Sangat kecewa dengan lazada,1,0,nunggu minggu pesan bom kecewa lazada
93929,Tidak bisa COD,Di tulis bisa cod begitu proses rupanya ga bisa...,1,0,tulis bayar kirim proses
93931,LCD HANCUR,Pesanan tidak di packing kayu. sehingga LCD pecah saat sampai tujuan,1,0,pesan packing kayu lcd pecah tuju
93936,USB nya ga bisa play movie,"Kirain bisa Usb nya, ambil yg model 85 I aja",1,0,kirain usb nya ambil model i
93971,"Led sharp 32 ""180",Pesanan nya dr tngl 1 sampai pertngl 6 brng blm juga nyampe..  Kecwa bgt proses pengrman lama,1,0,pesan nya tinggal pertngl brng kecwa banget proses pengrman
93975,Lamaaaaa nyampenya,Coba kalo pengirimannya melalui lex.pasti udah nyampe sebelum batas tgl pengiriman akhir,2,0,coba kirim lex batas tanggal kirim
93976,Sharp TV,"TVnya sudah sampai, pengiriman nya cepat, harganya ok, semoga awet. Terima kasih Seller",5,1,tvnya kirim nya cepat harga ok moga awet terima kasih jual
94000,Kotak agak kusam Tidak fres,Agak menegecewakan dikit Belum cek dalam lagi Jadi agak sangsi,1,0,menegecewakan cek sangsi
94001,proses expedisi lama,expedisi prosesnya lama banget gan? :/,1,0,expedisi proses banget juragan
94003,Barang ok,Bagus sesuai pesanan  pengiriman lemot banget,1,0,bagus sesuai pesan kirim lot banget
94033,biasa saja,"body nya keren sih,,,tapi untuk kualitas gambar dan warna kurang.",3,0,body nya keren sih kualitas gambar warna
94066,Ga ada barang . Suruh nulis alasan apa,Tolong uang saya dibalikin,1,0,tolong uang dibalikin
94067,TV murah tpi merk sharp,"Cepat sampai, barang memuaskan",5,1,cepat barang muas
94068,Kecewa,Pengiriman lama,1,0,kirim
94070,tv,pokoe mantap,5,1,pokoe mantap
94071,Puas,Dari dulu sampai sekarang... Saya puas blanja di ladzada.. Thank atas playanan nya smoga sukses..,5,1,puas blanja ladzada thank playanan nya moga sukses
94072,Led murah branded,Murah dan bagus,5,1,murah bagus
94073,Puas,Barang sudah sampai ..pesan kemarin siang..pagi ini sudah sampai..kurir ramah..packing rapi dan safety..thanks lazada ☺,5,1,barang pesan kemarin siang pagi kurir ramah packing rapi safety terimakasih lazada
94074,Tidak Bisa USB movie,"Sayang sekali tidak bisa USB movie. Ada lobang usb, tp hanya petigas service yang boleh. Begitu penjelasa n d buku petunjuk. Setelah dicoba, memang tidak support. Agak sedikit mengecewakan saya rasa, sementara di judul USB TV.  Padahal keluaran baru. Sedangkan TV2 jadul saja, keluaran 5 tahun lalu, sudah sertakan fitur itu...  Untuk yang mau order, pikir2 dulu lah...",3,0,sayang usb movie lobang usb tigas servis jasa n d buku tunjuk coba support kecewa judul usb televisi keluar televisi jaman keluar serta fitur order pikir
94088,good,barang sesuai pesanan. rekomended dah,5,1,barang sesuai pesan rekomended
94089,pengiriman cepat,pengiriman sangat cepat.produk sesuai deskripsi dan semuanya berfungsi dgn baik.thx lazada,5,1,kirim cepat produk sesuai deskripsi fungsi terimakasih lazada
94092,puas,kiriman cepat packing aman,5,1,kirim cepat packing aman
94094,Barang Tidak Sesuai.,"Barang yg dikirim sih packingnya bagus.  Cuman ini bukan seri LC-32LE180i tapi Yang dikirim LC-32LE185i yg build quality nya kurang bagus. Apalagi warna putih yg frame tv nya kelihatan kayak baru di cat putih.  Suara sih oke, cuman tetep features nya itu loh standar banget. Gambar juga kurang tajem.",1,0,barang kirim sih packingnya bagus seri lclei kirim lclei build kualitas nya bagus warna putih frame televisi nya cat putih suara sih oke features nya loh standar banget gambar tajem
94116,Koreksi,"Itu spesifikasi nya salah tuh gan.  Masa udah digital smart tv,  belum digital dan blm smart. Hati2 gan,  nanti di sangka penipuan.",1,0,spesifikasi nya salah tuh juragan digital smart televisi digital smart hati juragan sangka tipu
94117,Puasssssssss banget (sampe ngasih rating bintang 5),"Barang sudah sampai pesan kemaren sore, besok siang sdh sampai ... tv nya Langsung digunakan ... kondisi tv top bgt",5,1,barang pesan kemaren sore besok siang televisi nya langsung kondisi televisi top banget
94118,Tv murah merek terkenl,"Pertama beli harga 2.099.000 pake voucher jdi 2.069.000 eh sekarang malah turun jadi dibawah 2 juta, tapi pengiriman cepat hanya 2 hari ke medan padahal keterangan ny JNE REG15 dan di packing kayu, overall sip lah",4,1,beli harga pakai voucher eh turun bawah juta kirim cepat medan terang ny jne reg packing kayu overall sip
94119,Puas banget,"Kemasan rapi dan bagus, barang sesguai tambah lagi gratis ongkos kirim. Untuk saya di jayapura tv ini sangat murah.",5,1,kemas rapi bagus barang sesguai gratis ongkos kirim jayapura televisi murah
94120,"tv 32"" shap","cepat sampai sebelum waktu yang di tentukan, seller recomend.......mantaaaaaaaaaaaap",5,1,cepat tentu jual recomend mantaaaaaaaaaaaap
94121,"tv 32""",barang sdh sampai cuma belum di cek di karena kan saat barang sampai saya tidak ada di rumah,3,0,barang cek barang rumah
94124,Remot sama Kaki nya kirim,Baru nanti di tambah Bintang nya,1,0,bintang nya
94125,bagus good,thank you wkwk,5,1,thank wkwk
94127,keren,sesuai dg pesanan,5,1,sesuai pesan
94129,Penerimaan Barang,Barang yg diterima sesuai display. Packing Rapi dilapis Plastik Bubble Pula.,5,1,barang terima sesuai display packing rapi lap plastik bubble
94131,sesuai,barang sampe dengan cepat n sesuai,4,1,barang cepat n sesuai
94132,"pgiriman cpat & sesui gambar,pak nya rapi",thaks LAZADA,5,1,thaks lazada
94133,puas,alhamdulillah barangnya  sampai dengan baik.. kurir nya juga ramah..,5,1,alhamdulillah barang kurir nya ramah
94134,akhir nya uda nyampe,barang nya uda sampai rapi sudah di cek rapi dan memuaskan thak gan,1,0,barang nya rapi cek rapi muas thak juragan
94135,"Barang bagus,  pengiriman kurang cepat","Barang oke... Sdh dicoba memuaskan,  hanya pengiriman nya kenapa pakai pos.? Agak lama sampainya",4,1,barang oke coba muas kirim nya pakai pos sampai
94136,Pengiriman lama,Kurirnya ga mau nganterin,1,0,kurir antar
94137,keren,barang bagus keren suaranya mantap jempol buat lazada,4,1,barang bagus keren suara mantap jempol lazada
94138,barang ok,"barang ok, pengiriman cepat",5,1,barang ok kirim cepat
94139,Tv lcd,Product ok sy suka dan sdh dicoba 😊 sy suka dan packing kirimnya rapi bgt ty 👍🏻,5,1,produk ok suka coba suka packing kirim rapi banget ty
94141,Pengiriman nya lamban,Belum nyampe2 jga nih barang saya..??,1,0,nih barang
94142,Puas sekali,"Mantap, dapat barang bagus dengan harga murah.",5,1,mantap barang bagus harga murah
94143,"Sharp32""",Barang cepet sampe rapih kualitas bagus..terimakasih LAZADA,5,1,barang cepat rapih kualitas bagus terimakasih lazada
94144,Tv sharp 32 inch,Barang bagus pengiriman cepat.,5,1,barang bagus kirim cepat
94146,tv led murah,"harga murah pengiriman ok lah cepat gratis ongkir lagi, semoga awet",5,1,harga murah kirim ok cepat gratis ongkir moga awet
94148,oke,mantap cepat bagus,5,1,mantap cepat bagus
94149,Tv bagus,Dapet di harga dibawa 2 juta. Untuk TV 32 inchi distas ekspektasi karena ternyata fitur antenna booster nya memang berpengaruh. Dapet beberapa channel tambahan dibanding TV led merk lain,5,1,dapet harga bawa juta televisi inchi distas ekspektasi fitur antenna booster nya pengaruh dapet channel tambah banding televisi led merk
94153,Komplain,Barang saya kok belum sampai dari tgl 17 jan,1,0,barang tanggal jan
94158,bagus,tv bagus dan sesuai deskripsi. makasih seller dan lazada,5,1,televisi bagus sesuai deskripsi terimakasih jual lazada
94159,TRUST,TERIMA KASIH SELLER! TVNYA BAGUSSSS,5,1,terima kasih jual tvnya bagussss
94475,Manta,Barang telah sampai 2 hari.tidak ada yg lecet.gambar bagus.suara bagus.mantap lazada.semoga yg jadi planggan setia lazada.di kasi diskon,5,1,barang lecet gambar bagus suara bagus mantap lazada moga planggan setia lazada kasih diskon
94819,Saya masih ragu untuk Via Transfer,"Jika nanti ada kesalahan dalam produk atau dalam ordernya siapa yang akan bertanggung jawab disini saya tidak mau jika nanti uang melayang, tolong lebih jelas lagi tempat penjualan dan identitas si penjual ya.",1,0,salah produk order tanggung uang layang tolong jual identitas si jual ya
94949,kecewaaaaaa,"Pembatalan sepihak,harusnya konfirmasi by phone dulu ... limit jdi kepotong",1,0,batal konfirmasi by phone limit potong
94952,Murmer,Pengiriman cepat barang murah meriah cukup buat ngerjain tugas sekolah anak thanks lazada,5,1,kirim cepat barang murah riah tugas sekolah anak terimakasih lazada
94954,Puas,"Pengiriman cepat, tapi harus install sendiri,  spesifikasi lengkap sesuai detail yang tercantum. Thanks lazada",5,1,kirim cepat install spesifikasi lengkap sesuai detail cantum terimakasih lazada
94960,tanya,apakah ini menggunakan os Windows 10 original? tolong dijawab,5,1,os windows original tolong
94961,Fbfbthtrnrgtn.face.c.f..harder.veggie f g t renova,Csssfarrbgwrbgwnrgdgwwbefhetqebgbeg,5,1,csssfarrbgwrbgwnrgdgwwbefhetqebgbeg
95123,parah!!!,"udah ga sesuai sama jadwal delivery yg di tentukan, barang belum diterima tapi di aplikasi dan email sudah menyatakan diterima. ditanya ke cs minta bukti siapa yg terima ga bisa kasih, gimana pertanggung jawabannya nih???",1,0,sesuai jadwal delivery tentu barang terima aplikasi email terima cs bukti terima kasih tanggung jawab nih
95124,Bagus,"Untuk lenovo seri ideapad 110 8GID ini adalah menurut saya notebook rasa netbook....kenapa karena prosessor yg hanya Celeron berkekuatan 1,6 saja,cuma kelebihannya layar 14inchi,RAM 4gb,hardisk 1Tb dan sudah ada DVD.r/w.....itu saja menurut saya tapi  masih lumayan baik daripada kita punya netbook.",4,1,lenovo seri ideapad gid notebook netbook prosessor celeron kuat lebih layar inchi ram gb hardisk tb dvd r lumayan netbook
95125,Produk Bagus tapi Seller Mengecewakan,"Produk baru saja saya terima setelah lebih dari seminggu dan melebihi estimasi pengiriman. Itupun ambil sendiri ke ekspedisi. 2 hari setelah order dan transfer, status pesanan telah diterima, tetapi saya belum terima pesanan saya. Saya dapat no.resi tp tidak bisa dilacak. Tiap hari saya follow up ke lazada dan ekspedisi tidak ada jawaban yg pasti. 8 hari setelah itu, no. Resi sudah bisa dilacak, hari ke 9 saya ambil sendiri paket tersebut di ekspedisi. Untuk barang sendiri berfungsi dengan baik, dan bonus tas laptop.",3,0,produk terima minggu lebih estimasi kirim itu ambil ekspedisi order transfer status pesan terima terima pesan nomor resi lacak follow up lazada ekspedisi nomor resi lacak ambil paket ekspedisi barang fungsi bonus tas laptop
95126,Barang sesuai pesanan dan utuh serta cepat sampai,"Sudah 2 kali saya melakukan pembelian laptop lenovo ideapad 8GD yang kami apresiasi kali ini barang lebih cepat sampai dari barang yang kami pesan terlebih dahulu, trimakasi LAZADA yang sudah mendukung dan menyediakan barang kami dan tibah lebih awal dari estimasi pengiriman standart",5,1,kali beli laptop lenovo ideapad gd apresiasi kali barang cepat barang pesan trimakasi lazada dukung sedia barang tibah estimasi kirim standart
95127,Seandainya Bukan DOS,Barang mantab jiwa pokok e.. Tp lebih baik klo sudah ada bawaan windows 10 originalnya,4,1,barang mantap jiwa pokok e bawa windows originalnya
95129,Notebook OK,"saya puas dengan kualitas notebook ini untuk keperluan word, excel dan presentasi, karena kualitas baik. Dari dulu saya memang percaya dengan IBM walapun sudah dibeli lenovo, kualitas barang tetap terjaga.",5,1,puas kualitas notebook perlu word excel presentasi kualitas percaya ibm walapun beli lenovo kualitas barang jaga
95130,Ga bisa diorder,Knapa waktu di klik beli sekarang tidak bisa masuk ke keranjang,2,0,klik beli masuk keranjang
95133,Bagus,"Barang Baik, Sesuai Deskripsi, tanpa windows, lengkap, bonus tas",5,1,barang sesuai deskripsi windows lengkap bonus tas
95135,Mantap,"Barang cepat sampai,, sesuai dengan pesanan",5,1,barang cepat sesuai pesan
95136,"Lenovo Ideapad 110 8GID - Intel Celeron N3060 - RAM 4GB - 1TB - 14""- DOS - Hitam","BARANG SESUAI DESKRIPSI PENGIRIMAN CEPAT LEBIH MURAH DARI TOKO OFFLINE, MAKASIH LAZADA",5,1,barang sesuai deskripsi kirim cepat murah toko offline terimakasih lazada
95137,Mantap,Terima kasih lazada laptopnya sudah sampai dengan aman dan tanpa kendala apapun,5,1,terima kasih lazada laptop aman kendala apa
95141,Keren mantaf,"Bagus murah, kwalitas gak murahan lho",5,1,bagus murah kwalitas murah lho
95142,Lenovo idepad,Pengiriman cepat semua sesuai dgn gmbr...,5,1,kirim cepat sesuai gambar
95143,Biasakan membaca,"Banyak komment menyudutkan seller & lazada karena tidak membaca deskripsi produk, salah satunya jelas ditampilkan OS nya Dos masih koar-koar macam macam",4,1,komment sudut jual lazada baca deskripsi produk salah satu tampil os nya dos koar koar
95144,Cepat sekali,"Pket 1 hari lngsg dtang , byar tmpat lagi, blm di buka sih smga lngkap ga ad yg krang",4,1,paket langsung bayar buka sih moga lengkap krang
95145,masih berfungsi dengan baik,tanpa kendala dan error,5,1,kendala error
95146,sudah di terima,dapat harga promo,5,1,harga promo
95155,Cicil dong,Cara cicil gmna gan,4,1,cicil juragan
95158,Mas windows nya bisa di download ga,Mas windows bisa di download g,5,1,mas windows download
95159,Bagus,Spesifiknya bener-bener nyata  Gak nyesel beli ini...... Datengnya cepet lagi,5,1,spesifik bener bener nyata sesal beli datengnya cepat
95177,Barang kiriman,Barang di kirim berapa hari ka,5,1,barang kirim ka
95178,mau order,"stok masih ada gak, gan?",3,0,stok juragan
95179,Cara Pembayaran,Cara pembayarannya lewat apa ?,2,0,bayar
95180,3.2,Ready gan?,3,0,ready juragan
95186,pesanan sejak tgl 8 januari blm sampai,"saya telah trf sebagai bentuk pembelian saya ke lazada sejak tanggal 8 januari 2018. tapi sampai saaat ini, tgl 16 januari, tv pesanan saya belum sampai. tentu saya sangat kecewa.",1,0,tarif bentuk beli lazada tanggal januari saaat tanggal januari televisi pesan kecewa
95187,Lama,"Pesanan sampai hari ini belum saya terima, ini hari terakhir estimasi",1,0,pesan terima estimasi
95189,Satu bintang,Ongkir kegedean lzda,1,0,ongkir lzda
95190,TV LED nya bagus sesuai pic,barang sesuai pic baguss.cm knp pengirimanya lama sekali yaa....mohon dperbaiki untuk pengirimanya yg tdk tepat wktu. thanks lazada atas diskon barang nya yg sesuai pic.....,5,1,barang sesuai pic baguss cm pengirimanya yaa mohon dperbaiki pengirimanya terimakasih lazada diskon barang nya sesuai pic
95195,Pengiriman Lama,"Barang oke, cuma sayang pengiriman sampai 3 minggu",3,0,barang oke sayang kirim minggu
95196,suka,barangnya ok... harga murah abis.... thanks lazada,5,1,barang ok harga murah habis terimakasih lazada
95198,TV Bagus,"TV bagus sesuai dengan pic dan deskripsi, original, pengiriman juga cepat, puas lah..",5,1,televisi bagus sesuai pic deskripsi original kirim cepat puas
95200,BRAKET TIDAK ADA,braket tdk ada sesuai iklan,1,0,braket sesuai iklan
95201,respon barang lama,klo untuk kurirnya sippp lah..,4,1,kurir sippp
95239,Barang belum sampai kok disuruh menilai??????,"Barang belum sampai sudah complain sampai berbusa-busa, dijawab tidak jelas.....",1,0,barang keluh busa busa
95440,barang bagus,"barang sesuai pesanan ,cepat sampai,,cuma kartu garansinya kok ngak ada ya",5,1,barang sesuai pesan cepat kartu garansi ya
95443,Muncul suara menggangu (mirip suara jangkrik),"Saya baru beli tanggal 14 mei 2018, baru 2 mingguan kok muncul suara mirip jangkrik pada saat browsing, scrolling, bahkan pas ngetik ulasan ini muncul suaranya. Terkadang suara nya tiba-tiba meninggi. Hal ini sangat mengganggu. Masa saya beli mahal2 dapat nya jangkrik.",1,0,beli tanggal mei minggu muncul suara jangkrik browsing scrolling pas ngetik ulas muncul suara terkadang suara nya tinggi ganggu beli mahal nya jangkrik
95444,mantaapp...suarantappp,"barang sesuai deksripsi...garansi resmi asus, harga lebih murah, packing rapih dan amam, ongkir lebih murah...2 hari udah nyampe dari order...mantap nih...yang penting belinya harus dari official lazada kalau mau cepat dan terjamin...",5,1,barang sesuai deksripsi garansi resmi asus harga murah packing rapih amam ongkir murah order mantap nih beli official lazada cepat jamin
95445,recommended !!,"Barang bagus sesuai deskripsi barang, pengiriman standar pake ninja express (meski dateng pas hari terakhir , penggunaan buat main dota 2 lumayan lah meski rata rata fps 40 ultrasetting, dan pas main kadang frezz masih fine kayane mending beli yang udah ada ssdnya kalo ngga pengin ada lag lag nya gitu. untuk exsourcefan ada 2 kerasa panas karna ada lubang exsource yang ke atas(ke arah monitor) pemakaian batrai aga boro ngga kerasa, baru main 2 game udah lowbat.",4,1,barang bagus sesuai deskripsi barang kirim standar pakai ninja express pas guna main dota lumayan fps ultrasetting pas main kadang frezz fine kayane mending beli ssdnya pengin lag lag nya exsourcefan panas lubang exsource arah monitor pakai batrai aga boro main game lowbat
95446,spesifikasi produk,Cocok dg dipakai buat program dan gaming program juga,4,1,cocok pakai program gaming program
95451,ok,"2 kali pesan...  via transfer bca..  asus X441NA,  di batalkan mulu..jd pesen yg ini deh, pdhal d keterangan produk stok masih ada.  hemmm... ,  jd dana d kembalikan.. . 😣😣,  mana pengembalian dana d lazada ribet bgt.., utungnya saya aktif,  3x, 3hr.. live chat sama CS krn perbedaan nama akun lazada dan rekening, ktp. . akhirnya dpt telf jg dr lazada..  kl dana sedang proses pengambilan sekitar 3-5hr...,  MENDING KL BELI GINIAN..  COD AJA LAH... jd g tunggu pengembalian dana yg lama.., ______ utk laptop yg ini... ok sih.. pas buat d bawa2 11inc,  ringan,  mulus.. top...",5,1,kali pesan via transfer bca asus xna batal mulu pesan deh d terang produk stok hemmm dana d kembali kembali dana d lazada ribet banget utungnya aktif x live chat cs beda nama akun lazada rekening ktp telf lazada kl dana proses ambil mending kl beli ginian bayar kirim tunggu kembali dana laptop ok sih pas d bawa inc ringan mulus top
95459,Mini Notebook,"Notebook kecil mungil, enteng, gampang dibawa, termasuk tipis di kelasnya. Charger juga kecil, sehingga tidak memakan tempat. Baterai bisa untuk pemakaian 4-5 jam kerja. USB Type C belum bisa dipakai buat charge, jadi tidak bisa pakai charger HP untuk charge Notebook ini.",5,1,notebook mungil ringan gampang bawa tipis kelas charger makan baterai pakai jam kerja usb type c pakai charge pakai charger hp charge notebook
95468,Puas banget,Dengan harga terjangkau kualitas terbaik,5,1,harga jangkau kualitas baik
95504,"Nice little Computer, Crappy Operating System",The computer is quite nice. But the operating system (Windows 10 Home) is bad. So I wiped it out and installed Linux Mint 18.3. Works fine. I'd rather pay a bit less and get the computer without operating system...,4,1,the computer is quite nice but the operating system windows home is bad i wiped it out and installed linux works fine i d rather pay a bit less and get the computer without operating system
95512,bagus gan,top pengiriman cepat aman sampai tujuan. dan tentu original.,5,1,top kirim cepat aman tuju original
95529,Di order ya Gan/sist.,"Bagi Yang Minat Order/Pesan Barang Kami,Silahkan Add WhatsApp/WA.085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",5,1,minat order pesan barang silah add whatsapp wa langsung reseller toko terimah kasih
95530,Di order ya Gan/sist.,"Bagi Yang Minat Order/Pesan Barang Kami,Silahkan Add WhatsApp/WA.085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",5,1,minat order pesan barang silah add whatsapp wa langsung reseller toko terimah kasih
95531,Lima Bintang,"Untuk info buat pelanggan setia kami di karenakan lazada slow respon cepat aman dan terpercaya,kami buka orderan pemesanan melalui via whatsapp/wa:085250720044",5,1,informasi langgan setia karena lazada santai respon cepat aman percaya buka order mesan via whatsapp wa
